Club,Name,League,Count
FC_Ingolstadt_04_II,FC Ingolstadt 04 II,Bayernliga Nord,1
SC_Paderborn_07,SC Paderborn 07,Bundesliga,1
TSV_Havelse,TSV Havelse,3. Liga,1
Eintracht_Braunschweig_II,Eintracht Braunschweig II,Landesliga Braunschweig,1
SV_Meppen,SV Meppen,Regionalliga Nord,1
Burgos_CF,Burgos CF,Segunda División,1
F.C._Porto_B,F.C. Porto B,Unknown,1
Stella_Club_d%27Adjam%C3%A9,Stella Club d'Adjamé,Ligue 1,1
CD_Legan%C3%A9s_B,CD Leganés B,Tercera Federación,1
Montpellier_HSC_II,Montpellier HSC II,Unknown,1
Poitiers_FC,Stade Poitevin FC,National 3,1
US_Orl%C3%A9ans,US Orléans,Ligue 3,1
Africa_Sports_d%27Abidjan,Africa Sports d'Abidjan,Ligue 2,1
Beitar_Tel_Aviv_Bat_Yam_F.C.,Beitar Tel Aviv Holon F.C.,Israeli Premier League,1
Maccabi_Netanya_F.C.,Maccabi Netanya F.C.,Israeli Premier League,1
Urawa_Red_Diamonds,Urawa Red Diamonds,J1 League,1
Giravanz_Kitakyushu,Giravanz Kitakyushu,J3 League,1
Matsumoto_Yamaga,Matsumoto Yamaga FC,J3 League,1
Sanfrecce_Hiroshima,Sanfrecce Hiroshima,J1 League,1
Gamba_Osaka_U-23,Gamba Osaka U-23,J3 League,1
Shimizu_S-Pulse,Shimizu S-Pulse,J1 League,1
Yokohama_FC,Yokohama FC,J2 League,1
Cerezo_Osaka_U-23,Cerezo Osaka U-23,J3 League,1
Cerezo_Osaka,Cerezo Osaka,J1 League,1
Avispa_Fukuoka,Avispa Fukuoka,J1 League,1
Excelsior_Rotterdam,Excelsior Rotterdam,Unknown,1
Alemannia_Aachen,Alemannia Aachen,3. Liga,1
IFK_Liding%C3%B6_Fotboll,IFK Lidingö Fotboll,Division 3,1
Degerfors_IF,Degerfors IF,Allsvenskan,1
Friska_Viljor_FC,Friska Viljor FC,Ettan Norra,1
Sandvikens_IF,Sandvikens IF,Superettan,1
Assyriska_FF,Assyriska FF,Ettan Fotboll,1
IK_Sirius_Fotboll,IK Sirius Fotboll,Allsvenskan,1
Lech_Pozna%C5%84,Lech Poznań,Ekstraklasa,1
Jonsereds_IF,Jonsereds IF,Division 3,1
S%C3%A4vedalens_IF,Sävedalens IF,Division 2 Norra Götaland,1
%C3%96rgryte_IS,Örgryte IS,Allsvenskan,1
IK_Oddevold,IK Oddevold,Superettan,1
Falkenbergs_FF,Falkenbergs FF,Superettan,1
SV_Wehen_Wiesbaden,SV Wehen Wiesbaden,3. Liga,1
Sundbybergs_IK,Sundbybergs IK,Division 3 Norra Svealand,1
IFK_Stocksund,IFK Stocksund,Ettan Fotboll,1
V%C3%A4ster%C3%A5s_SK_FK,V%C3%A4ster%C3%A5s SK FK,Unknown,1
CO_M%C3%A9denine,CO Médenine,Tunisian Ligue Professionnelle 1,1
JS_Kairouan,JS Kairouan,Tunisian Ligue Professionnelle 1,1
Benevento_Calcio,Benevento Calcio,Serie C,1
AS_Cannes,AS Cannes,Ligue 1,1
Chamois_Niortais_F.C.,Chamois Niortais FC,Ligue 1,1
C.D._Trofense,C.D. Trofense,Liga 3,1
HSV_Barmbek-Uhlenhorst,HSV Barmbek-Uhlenhorst,Landesliga Hamburg-Hammonia,1
FC_Eintracht_Norderstedt_03,FC Eintracht Norderstedt 03,Regionalliga Nord,1
Degache,Degache,Tunisian Ligue Professionnelle 2,1
Tozeur,Tozeur,Tunisian Ligue Professionnelle 2,1
Al-Najaf_FC,Al-Najaf SC,Iraqi Premier Division League,1
FC_Dynamo_Makhachkala,FC Dynamo Makhachkala,Russian Premier League,1
CA_Bizertin,CA Bizertin,Tunisian Ligue Professionnelle 1,1
RB_Leipzig_II,RB Leipzig II,Unknown,1
Whitecaps_FC_Academy,Whitecaps FC Academy,British Columbia Premier League,1
Olympique_B%C3%A9ja,Olympique Béja,Tunisian Ligue Professionnelle 1,1
AS_Soliman,AS Soliman,Tunisian Ligue Professionnelle 2,1
CS_Hammam-Lif,CS Hammam-Lif,Ligue 2,1
Knattspyrnuf%C3%A9lag_Reykjav%C3%ADkur,Knattspyrnufélag Reykjavíkur,Besta deild karla,1
ES_Hammam_Sousse,ES Hammam Sousse,Ligue 2,1
Akademisk_Boldklub,Akademisk Boldklub,Danish 2nd Division,1
Tromsdalen_UIL,Tromsdalen UIL,2. divisjon,1
Celtic_FC,Celtic FC,Unknown,1
KVC_Westerlo,KVC Westerlo,Unknown,1
Tianjin_Quanjian_F.C.,Tianjin Tianhai F.C.,Chinese Super League,1
Jong_Genk,Jong Genk,Unknown,1
Royal_Excelsior_Virton,Royal Excelsior Virton,Belgian Division 1,1
Juventus_FC_Under-23,Juventus FC Under-23,Unknown,1
Lommel_SK,Lommel SK,Unknown,1
KSC_Lokeren_Oost-Vlaanderen,KSC Lokeren Oost-Vlaanderen,Belgian Pro League,1
Petrojet_SC,Petrojet SC,Egyptian Premier League,1
El_Mansoura_SC,El Mansoura SC,Egyptian Second Division B,1
Sporting_Clube_de_Portugal,Sporting Clube de Portugal,Unknown,1
Sporting_Clube_de_Portugal_B,Sporting Clube de Portugal B,Unknown,1
Future_FC,Modern Sport FC,Egyptian Premier League,1
Gomhoriat_Shebin_SC,Gomhoriat Shebin SC,Egyptian Second Division,1
ENPPI_SC,ENPPI SC,Egyptian Premier League,1
Ala%27ab_Damanhour_SC,Ala'ab Damanhour SC,Egyptian Third Division,1
Yeni_Malatyaspor,Yeni Malatyaspor,TFF 3. Lig,1
Smouha_Sporting_Club,Smouha Sporting Club,Unknown,1
Modern_Future_FC,Modern Future FC,Unknown,1
Nogoom_FC,Nogoom FC,Egyptian Third Division,1
El_Qanah_FC,El Qanah FC,Egyptian Second Division A,1
El_Gouna_FC,El Gouna FC,Egyptian Premier League,1
Naft_Tehran,Naft Tehran F.C.,League 3,1
Panionios_F.C.,Panionios F.C.,Super League Greece 2,1
Mes_Rafsanjan_F.C.,Mes Rafsanjan F.C.,Persian Gulf Pro League,1
Mes_Kerman_F.C.,Sanat Mes Kerman F.C.,Azadegan League,1
Sepahan_Isfahan_F.C.,Sepahan Isfahan F.C.,Unknown,1
FC_Akhmat_Grozny,FC Akhmat Grozny,Russian Premier League,1
Atl%C3%A9tico_Madrid_C,Atlético Madrid C,Tercera Federación,1
FC_Amkar_Perm,FC Amkar Perm,Russian Second League,1
Damash_Tehran_F.C.,Damash Tehran,Tehran Province League,1
S.C._Damash_Gilan,S.C. Damash Gilan,Azadegan League,1
N.E.C._(football_club),N.E.C. (football club),Unknown,1
Sang_Ahan_Bafq_F.C.,Yazd Louleh F.C.,Azadegan League,1
Machine_Sazi_F.C.,Machine Sazi F.C.,League 3 (Iran),1
IF_Limhamn_Bunkeflo_(men),IF Limhamn Bunkeflo (men),Division 2 Västra Götaland,1
Sepahan_F.C.,Sepahan F.C.,Unknown,1
Padideh_Khorasan_FC,Shahr Khodro F.C.,Persian Gulf Pro League,1
Al_Wahda_FC,Al Wahda FC,UAE Pro League,1
Bargh_Shiraz,Bargh Shiraz F.C.,League 2 (Iran),1
Rah_Ahan_F.C.,Rah Ahan F.C.,Unknown,1
Al-Shahania_SC,Al Shahaniya SC,Qatar Stars League,1
S.B.V._Excelsior,S.B.V. Excelsior,Unknown,1
Zob_Ahan_Esfahan_F.C.,Zob Ahan Esfahan F.C.,Persian Gulf Pro League,1
KIA_Football_Academy,KIA Football Academy,League 2 (Iran),1
Gol_Gohar_Sirjan_F.C.,Gol Gohar Sirjan F.C.,Persian Gulf Pro League,1
Buckingham_Town_F.C.,Buckingham Town F.C.,Southern Football League,1
Banbury_United_F.C.,Banbury United F.C.,Southern League,1
Nuneaton_Borough_F.C.,Nuneaton Town F.C.,Northern Premier League,1
Barnet_F.C.,Barnet F.C.,EFL League Two,1
Brisbane_Roar_F.C.,Brisbane Roar F.C.,Unknown,1
Waitakere_United,Waitakere United,ISPS Handa Premiership,1
Portland_Timbers_2,Portland Timbers 2,MLS Next Pro,1
Canterbury_United_FC,Canterbury United Dragons,ISPS Handa Premiership,1
Michigan_Bucks,Flint City Bucks,USL League Two,1
Nyk%C3%B6pings_BIS,Nyköpings BIS,Division 2,1
IFK_V%C3%A4rnamo,IFK Värnamo,Superettan,1
Ellerslie_AFC,Ellerslie AFC,NRFL Championship,1
Central_United_F.C.,Central United F.C.,NRFL Northern Conference,1
Vancouver_Whitecaps_FC_U-23,Vancouver Whitecaps FC U-23,Premier Development League,1
Oakleigh_Cannons_FC,Oakleigh Cannons FC,NPL Victoria,1
Charlottesville_Alliance_FC,Charlottesville Alliance FC,NPSL,1
Wanderers_SC,Wanderers Special Club,ASB Premiership,1
FC_Carl_Zeiss_Jena,FC Carl Zeiss Jena,Regionalliga Nordost,1
Helsingin_Jalkapalloklubi,Helsingin Jalkapalloklubi,Veikkausliiga,1
Klubi_04,Klubi 04,Ykkösliiga,1
FC_Haka,FC Haka,Ykkösliiga,1
Cambridge_FC,Cambridge FC,NRFL Championship,1
Hamilton_Wanderers_AFC,Hamilton Wanderers AFC,NRFL Championship,1
WaiBOP_United,WaiBOP United,ASB Premiership,1
SSV_Jahn_Regensburg,SSV Jahn Regensburg,3. Liga,1
U.D._Leiria,U.D. Leiria,Liga Portugal 2,1
Wellington_Phoenix_F.C.,Wellington Phoenix F.C.,Unknown,1
AC_Horsens,AC Horsens,Danish Superliga,1
Wellington_United,Wellington United AFC,ASB Premiership,1
Lechia_Gda%C5%84sk,Lechia Gdańsk,I liga,1
YoungHeart_Manawatu,Manawatu United,ASB Premiership,1
Wairarapa_United,Wairarapa United,ASB Premiership,1
Ngongotaha_AFC,Ngongotaha AFC,NRFL Southern Conference,1
Torslanda_IK,Torslanda IK,Ettan Södra,1
Sligo_Rovers_F.C.,Sligo Rovers F.C.,League of Ireland Premier Division,1
Auckland_FC_Reserves,Auckland FC Reserves,Northern League,1
Selwyn_United,Selwyn United FC,Canterbury Premiership League,1
Macarthur_Rams,Macarthur Rams FC,NSW League One,1
Alania_Vladikavkaz,FC Alania Vladikavkaz (2019),Russian Second League,1
Western_Sydney_Wanderers_FC,Western Sydney Wanderers FC,A-League Men,1
Mansfield_Town_F.C.,Mansfield Town F.C.,EFL League One,1
Port_Vale_F.C.,Port Vale F.C.,EFL League Two,1
Island_Bay_United,Island Bay United AFC,Central League,1
North_Wellington_AFC,North Wellington AFC,Central League 2,1
Hawke%27s_Bay_United_FC,Hawke's Bay United FC,ISPS Handa Premiership,1
Wellington_Olympic_AFC,Wellington Olympic AFC,Central League,1
Kyoto_Sanga_FC,Kyoto Sanga FC,J1 League,1
Melville_United,Melville United AFC,Northern League,1
Waikato_FC,Waikato FC,Unknown,1
Macarthur_FC,Macarthur FC,A-League Men,1
Braintree_Town_F.C.,Braintree Town F.C.,National League South,1
CS_Mindelense,CS Mindelense,Cape Verdean football Championships,1
Progresso_Associa%C3%A7%C3%A3o_do_Sambizanga,Progresso Associação do Sambizanga,Segundona,1
FC_Zimbru_Chi%C8%99in%C4%83u,FC Zimbru Chișinău,Liga,1
Deportivo_de_La_Coru%C3%B1a_B,Deportivo Fabril,Segunda Federación,1
Videoton_FC_Feh%C3%A9rv%C3%A1r,Videoton FC Fehérvár,NB II,1
ASFAR_(football_club),ASFAR (football club),Unknown,1
Bohemian_F.C.,Bohemian F.C.,League of Ireland Premier Division,1
Shamrock_Rovers_F.C.,Shamrock Rovers F.C.,League of Ireland Premier Division,1
Le_Mans_FC,Le Mans FC,Ligue 1,1
U.D._Oliveirense,U.D. Oliveirense,Liga 3,1
Sertanense_F.C.,Sertanense F.C.,Campeonato de Portugal,1
SC_Maria_da_Fonte,SC Maria da Fonte,Terceira Divisão,1
Le%C3%A7a_F.C.,Leça F.C.,Liga 3,1
ASC_O%C8%9Belul_Gala%C8%9Bi,ASC Oțelul Galați,Liga I,1
FCSB,FCSB,Liga I,1
XerxesDZB,XerxesDZB,Vierde Divisie,1
Apollon_Limassol_FC,Apollon Limassol FC,First Division,1
C.D.C._Montalegre,C.D.C. Montalegre,Campeonato de Portugal,1
C.D._Cova_da_Piedade,C.D. Cova da Piedade,Liga Portugal 2,1
Real_S.C.,Real Sport Clube,Campeonato de Portugal,1
U.D._Vilafranquense,U.D. Vilafranquense,Liga Portugal 2,1
FC_Hebar_Pazardzhik,FC Hebar Pazardzhik,Second League,1
PFC_Montana,PFC Montana,Second League,1
FC_Rot-Wei%C3%9F_Erfurt,FC Rot-Weiß Erfurt,Regionalliga Nordost,1
Pusk%C3%A1s_Akad%C3%A9mia_FC,Puskás Akadémia FC,NB I,1
S.C._Salgueiros,S.C. Salgueiros,Campeonato de Portugal,1
Vilaverdense_FC,Vilaverdense F.C.,Campeonato de Portugal,1
Alki_Oroklini,Alki Oroklini,Cypriot First Division,1
FC_Politehnica_Ia%C8%99i_(2010),FC Politehnica Iași (2010),Liga II,1
MVV_Maastricht,MVV Maastricht,Eerste Divisie,1
Casa_Pia_A.C.,Casa Pia A.C.,Primeira Liga,1
Nottingham_Forest,Nottingham Forest,Unknown,1
Kocaelispor,Kocaelispor,Süper Lig,1
Aubagne_FC,SC Aubagne Air Bel,Ligue 3,1
Inter_Miami_CF_II,Inter Miami CF II,MLS Next Pro,1
C.F._Os_Belenenses,C.F. Os Belenenses,Liga 3,1
Sein%C3%A4joen_Jalkapallokerho,Seinäjoen Jalkapallokerho,Veikkausliiga,1
Amora_F.C.,Amora F.C.,Liga 3,1
Al-Tai_FC,Al-Tai FC,First Division League,1
Al_Faisaly_FC,Al Faisaly FC,Unknown,1
Al_Hilal_FC,Al Hilal FC,Unknown,1
Al-Ahli_(Jeddah),Al-Ahli (Jeddah),Unknown,1
Neom_SC,Neom SC,Saudi Pro League,1
Al-Ahli_SC_(Jeddah),Al-Ahli SC (Jeddah),Unknown,1
Al-Ula_FC,Al-Ula FC,First Division League,1
Atl%C3%A9tico_Levante_UD,Atlético Levante UD,Tercera Federación,1
CA_Osasuna_B,CA Osasuna B,Primera Federación,1
Real_Betis_B,Betis Deportivo,Primera Federación,1
RCD_Espanyol_B,RCD Espanyol B,Segunda Federación,1
Real_Sociedad_C,Real Sociedad C,Tercera Federación,1
RSC_Internacional_FC,RSC Internacional FC,Categoría Primera A,1
Danubio_F.C.,Danubio F.C.,Liga AUF Uruguaya,1
C.A._Rentistas,C.A. Rentistas,Segunda División,1
Boston_River,Boston River,Liga AUF Uruguaya,1
Deportivo_La_Coru%C3%B1a,Deportivo de La Coruña,Segunda División,1
Osmanl%C4%B1spor,Ankaraspor,TFF 2. Lig,1
Lleida_Esportiu,Lleida CF,Tercera Federación,1
Uni%C3%B3n_de_Santa_Fe,Unión de Santa Fe,Primera División,1
Clube_de_Regatas_do_Flamengo,Clube de Regatas do Flamengo,Unknown,1
Atenas_de_San_Carlos,Atenas de San Carlos,Segunda División,1
Albacete_Balompi%C3%A9,Albacete Balompié,Segunda División,1
A.C._Perugia_Calcio,AC Perugia Calcio,Serie C,1
Club_America,Club America,Unknown,1
Deportivo_Toluca_F.C.,Deportivo Toluca F.C.,Unknown,1
Juventud_de_Las_Piedras,Juventud de Las Piedras,Liga AUF Uruguaya,1
Atl%C3%A9tico_San_Luis,Atlético San Luis,Liga MX,1
Atl%C3%A9tico_Malague%C3%B1o,Atlético Malagueño,Segunda Federación,1
Korona_Kielce,Korona Kielce,Ekstraklasa,1
Korona_Kielce_II,Korona Kielce II,"III liga, group IV",1
AS_Nancy,AS Nancy,Unknown,1
FC_Girondins_de_Bordeaux_II,FC Girondins de Bordeaux II,Unknown,1
AS_Monaco_FC_II,AS Monaco FC II,Unknown,1
Toulouse_FC_II,Toulouse FC II,Unknown,1
FC_Sochaux-Montb%C3%A9liard_II,FC Sochaux-Montb%C3%A9liard II,Unknown,1
Paris_Saint-Germain_B,Paris Saint-Germain B,Unknown,1
Olympique_Lyonnais_II,Olympique Lyonnais II,Unknown,1
RC_Strasbourg,RC Strasbourg,Unknown,1
Red_Star_FC,Red Star FC,Ligue 2,1
Al_Talaba_SC,Al-Talaba SC,Iraq Stars League,1
Eskilstuna_City_FK,Eskilstuna City FK,Division 4 Sörmland,1
Dalkurd_FF,Dalkurd FF,Allsvenskan,1
AFC_United,AFC Eskilstuna,Ettan Norra,1
Elverum_Fotball,Elverum Fotball,3. divisjon,1
Al-Markhiya_Sports_Club,Al-Markhiya Sports Club,Unknown,1
Al-Shahania_Sports_Club,Al-Shahania Sports Club,Unknown,1
FK_Radni%C4%8Dki_Ni%C5%A1,FK Radnički Niš,Serbian SuperLiga,1
FC_Arda_Kardzhali,FC Arda Kardzhali,First League,1
Levski_Sofia,Levski Sofia,Unknown,1
Buriram_United_F.C.,Buriram United F.C.,Thai League,1
Brommapojkarna,Brommapojkarna,Unknown,1
Pogo%C5%84_Szczecin,Pogoń Szczecin,Ekstraklasa,1
Al_Quwa_Al_Jawiya,Al Quwa Al Jawiya,Unknown,1
Salahaddin_FC,Salahaddin SC,Iraqi Third Division League,1
Eintracht_Braunschweig,Eintracht Braunschweig,2. Bundesliga,1
AEK_Larnaca_FC,AEK Larnaca FC,First Division,1
Al-Sinaa_SC,Al-Sinaa SC,Iraqi First Division League,1
Zakho_FC,Zakho SC,Iraq Stars League,1
Al-Riyadh_SC,Al-Riyadh SC,Saudi Pro League,1
Al_Dhafra_FC,Al Dhafra FC,UAE Pro League,1
Bromley_F.C.,Bromley F.C.,EFL League One,1
Al-Kahrabaa_FC,Al-Kahrabaa SC,Iraq Stars League,1
Motala_AIF,Motala AIF,Division 1 Södra,1
Karbalaa_FC,Karbala SC,Iraqi Premier Division League,1
Amanat_Baghdad_SC,Amanat Baghdad SC,Iraq Stars League,1
Al-Shorta,Al-Shorta,Unknown,1
Naft_Al-Wasat_SC,Naft Al-Wasat SC,Unknown,1
Baghdad_FC,Baghdad FC,Unknown,1
Husqvarna_FF,Husqvarna FF,Ettan Södra,1
J%C3%B6nk%C3%B6pings_S%C3%B6dra_IF,Jönköpings Södra IF,Ettan,1
KS_Cracovia,KS Cracovia,Ekstraklasa,1
Duhok_SC,Duhok SC,Iraq Stars League,1
Utsiktens_BK,Utsiktens BK,Ettan,1
FK_Jerv_2,Norwegian reserve football teams,Norwegian Second Division,1
Str%C3%B8msgodset_Toppfotball_2,Str%C3%B8msgodset Toppfotball 2,Unknown,1
Al-Taji_SC,Al-Taji SC,Iraqi First Division League,1
Al-Oloom_wal-Technologia_SC,Al-Oloom wal-Technologia SC,Iraqi Third Division League,1
1._FC_Germania_Egestorf/Langreder,1. FC Germania Egestorf/Langreder,Oberliga Niedersachsen,1
FC_Wacker_Innsbruck_(2002),FC Wacker Innsbruck (2002),Austrian Regionalliga West,1
Diyala_SC,Diyala SC,Iraq Stars League,1
Al-Talaba_SC,Al-Talaba SC,Unknown,1
FC_Fredericia,FC Fredericia,Superliga,1
Lillestr%C3%B8m_SK,Lillestrøm SK,Eliteserien,1
IK_Start,IK Start,Eliteserien,1
Bergen_Nord_FK,FK Bergen Nord,Norwegian Third Division,1
SK_Brann,SK Brann,Eliteserien,1
%C3%85sane_Fotball,Åsane Fotball,1. divisjon,1
Rosenborg_BK_2,Rosenborg BK 2,Unknown,1
Asker_Fotball,Asker Fotball,2. divisjon,1
V%C3%A5lerenga_Fotball,Vålerenga Fotball,Eliteserien,1
Bryne_FK_2,Norwegian reserve football teams,Norwegian Third Division,1
Bryne_FK,Bryne FK,1. divisjon,1
Molde_FK_2,Molde FK 2,Norwegian Third Division,1
Nest-Sotra_Fotball,Nest-Sotra Fotball,Norwegian First Division,1
Odds_BK,Odds BK,1. divisjon,1
Bologna_FC,Bologna FC,Unknown,1
Aalesunds_FK,Aalesunds FK,Eliteserien,1
Namsos_IL,Namsos IL,Norwegian Third Division,1
IL_Stj%C3%B8rdals-Blink,IL Stjørdals-Blink,2. divisjon,1
Sandefjord_Fotball_2,Sandefjord Fotball 2,Unknown,1
FK_%C3%98rn_Horten,FK Ørn Horten,3. divisjon,1
FK_%C3%98rn_Horten_2,FK %C3%98rn Horten 2,Unknown,1
Egersunds_IK,Egersunds IK,OBOS-ligaen,1
Troyes_AC,Troyes AC,Unknown,1
Stade_de_Mbour,Stade de Mbour,Senegal Premier League,1
Mbour_Petite-C%C3%B4te_FC,Mbour Petite-Côte FC,Senegal Premier League,1
H%C3%B8nefoss_BK,Hønefoss BK,2. divisjon,1
CF_Fuenlabrada,CF Fuenlabrada,Segunda Federación,1
G%C3%A9n%C3%A9ration_Foot,Génération Foot,Senegal Premier League,1
FC_Metz#Youth_academy,FC Metz#Youth academy,Unknown,1
Waasland-Beveren,Waasland-Beveren,Unknown,1
G%C3%B6ztepe_S.K.,Göztepe S.K.,Süper Lig,1
AS_Cherbourg_Football,AS Cherbourg Football,Régional 3,1
Olympique_de_Marseille_II,Olympique de Marseille II,Unknown,1
PFC_Lokomotiv_Plovdiv,PFC Lokomotiv Plovdiv,First League,1
FC_United_Z%C3%BCrich,FC United Zürich,2. Liga Interregional,1
FC_Echichens,FC Echichens,2. Liga Interregional,1
FC_Echallens,FC Echallens,1. Liga Classic,1
FC_Biel-Bienne,FC Biel-Bienne,Promotion League,1
FC_Stade_Nyonnais,FC Stade Nyonnais,Challenge League,1
MC_El_Eulma,MC El Eulma,Interregional League,1
ASO_Chlef,ASO Chlef,Ligue 1,1
Quimper_Kerfeunteun_F.C.,Quimper Kerfeunteun FC,Brittany Football League,1
Olympic_Charleroi,Olympic Charleroi,Challenger Pro League,1
K._Patro_Eisden_Maasmechelen,Patro Eisden Maasmechelen,Challenger Pro League,1
Gy%C5%91ri_ETO_FC,Győri ETO FC,NB I,1
US_Chaouia,US Chaouia,Ligue 2,1
USM_Bel_Abb%C3%A8s,USM Bel Abbès,Inter-Régions Division,1
DRB_Tadjenanet,DRB Tadjenanet,Algerian Ligue Professionnelle 1,1
AS_A%C3%AFn_M%27lila,AS Aïn M'lila,Interregional League,1
ES_S%C3%A9tif,ES Sétif,Ligue 1,1
Racing_Santander,Racing Santander,Unknown,1
%C3%89vreux_FC_27,Évreux FC 27,Championnat National 3,1
Vannes_OC,Vannes OC,National 3,1
FC_Rouen,FC Rouen,Ligue 3,1
Frosinone_Calcio,Frosinone Calcio,Serie A,1
Real_Murcia,Real Murcia CF,Primera Federación,1
AC_ChievoVerona,AC ChievoVerona,Serie C,1
FC_Barcelona_C,FC Barcelona C,3ª – Group 5,1
Manchester_City,Manchester City,Unknown,1
Club_Atl%C3%A9tico_Belgrano,Club Atlético Belgrano,Primera División,1
SV_Gr%C3%B6dig,SV Grödig,Regionalliga Salzburg,1
Floridsdorfer_AC,Floridsdorfer AC,2. Liga,1
FC_Admira_Wacker_M%C3%B6dling_Amateure,FCM Traiskirchen,Regionalliga East,1
FK_Austria_Wien_II,FK Austria Wien II,Unknown,1
SC_Braga,SC Braga,Unknown,1
Kapfenberger_SV,Kapfenberger SV,2. Liga,1
DSV_Leoben,DSV Leoben,Landesliga Steiermark,1
SK_Rapid_Wien_II,SK Rapid Wien II,Unknown,1
Real_Madrid_C,Real Madrid C,Segunda Federación,1
SC_Wiener_Neustadt,1. Wiener Neustädter SC,1. Landesliga,1
SV_Schwechat,SV Schwechat,Wiener Stadtliga,1
WSG_Swarovski_Tirol,WSG Tirol,Austrian Bundesliga,1
Venezia_F.C.,Venezia F.C.,Unknown,1
Shabab_Al-Ordon,Shabab Al-Ordon SC,Jordanian Pro League,1
Al-Jabalain_FC,Al-Jabalain Club,Saudi First Division League,1
Al_Ahed_FC,Al Ahed FC,Lebanese Premier League,1
Zakho_SC,Zakho SC,Unknown,1
That_Ras_SC,That Ras SC,Yemeni Premier League,1
Al-Jazeera_(Amman),Al-Jazeera SC (Amman),Jordanian Pro League,1
Al-Wehdat,Al-Wehdat,Unknown,1
Muaither_SC,Muaither SC,Qatari Second Division,1
Al_Ahli_SC_(Tripoli),Al Ahli SC (Tripoli),Libyan Premier League,1
Al_Wehdat_SC,Al Wehdat SC,Unknown,1
Shabab_Al-Ordon_Club,Shabab Al-Ordon Club,Unknown,1
OH_Leuven,OH Leuven,Unknown,1
Amman_FC,Amman FC,Jordanian First Division League,1
Shabab_Al-Aqaba_Club,Shabab Al-Aqaba SC,Jordanian First Division League,1
Ittihad_Al-Zarqa,Ittihad Al-Zarqa SC,Jordanian Pro League,1
Al-Sheikh_Hussein_FC,Al-Sheikh Hussein SC,Jordanian Third Division League,1
Ittihad_Al-Ramtha,Ittihad Al-Ramtha SC,Jordanian First Division League,1
Al-Arabi_SC_(Kuwait),Al-Arabi SC (Kuwait),Kuwait Premier League,1
Oman_Club,Oman Club,Oman Elite League,1
Al-Salt,As-Salt,Jordanian Pro League,1
Kedah_Darul_Aman_F.C.,Kedah Darul Aman F.C.,Malaysia A2 Amateur League,1
Qadsia_SC,Qadsia SC,Kuwait Premier League,1
Ratchaburi_Mitr_Phol_F.C.,Ratchaburi F.C.,Thai League 1,1
Mesaimeer_SC,Mesaimeer SC,Qatari Second Division,1
Swope_Park_Rangers,Sporting Kansas City II,MLS Next Pro,1
Sporting_Kansas_City_II,Sporting Kansas City II,Unknown,1
Sporting_Kansas_City,Sporting Kansas City,Major League Soccer,1
Al-Qasim_SC,Al-Qasim SC,Iraqi Premier Division League,1
FC_Corvinul_Hunedoara,FC Corvinul Hunedoara,Liga I,1
Al-Arabi_SC_(Irbid),Al-Arabi SC (Irbid),Jordanian Pro League,1
Al-Sareeh_SC,Al-Sareeh SC,Jordanian First Division League,1
Mansheyat_Bani_Hasan,Mansheyat Bani Hasan SC,Jordanian Pro League,1
Ma%27an_SC,Ma'an SC,Jordanian First Division League,1
Emirates_Club,Emirates Club,First Division League,1
Qatar_SC,Qatar SC,Qatar Stars League,1
Al-Ain_FC_(Saudi_Arabia),Al-Ain FC (Saudi Arabia),Saudi Second Division League,1
Al-Arabi_(Irbid),Al-Arabi (Irbid),Unknown,1
Kazma_SC,Kazma SC,Kuwait Premier League,1
Al_Shabab_Club,Al Shabab Club,Unknown,1
Hidd_SCC,Hidd SCC,Second Division,1
Al_Ahli_SC_(Amman),Al Ahli SC (Amman),Unknown,1
Shabab_Al-Aqaba_SC,Shabab Al-Aqaba SC,Unknown,1
S.S.C._Napoli,S.S.C. Napoli,Unknown,1
Esporte_Clube_Bahia,Esporte Clube Bahia,Campeonato Brasileiro Série A,1
Guarani_FC,Guarani FC,Campeonato Brasileiro Série C,1
Sevilla_Atl%C3%A9tico,Sevilla Atlético,Primera Federación,1
FC_Karpaty_Lviv,FC Karpaty Lviv,Ukrainian Premier League,1
Chiapas_F.C.,Jaguares F.C.,Liga Premier,1
Dorados_de_Sinaloa,Dorados de Sinaloa,Liga de Expansión MX,1
Patriotas_Boyac%C3%A1,Patriotas Boyacá,Categoría Primera B,1
Deportivo_Pasto,Deportivo Pasto,Categoría Primera A,1
Bogot%C3%A1_F.C.,Bogotá F.C.,Categoría Primera B,1
Universitario_Popay%C3%A1n,Universitario Popayán,Categoría Primera B,1
Jacksonville_Armada_FC,Jacksonville Armada FC,MLS Next Pro,1
Deportes_Melipilla,Deportes Melipilla,Segunda División Profesional de Chile,1
Alianza_Petrolera_F.C.,Alianza Petrolera F.C.,Categoría Primera A,1
Atl%C3%A9tico_Huila,Atlético Huila,Categoría Primera B,1
Academia_F.C.,Academia F.C.,Categoría Primera B,1
Deportivo_Pereira,Deportivo Pereira,Categoría Primera A,1
Envigado_F%C3%BAtbol_Club,Envigado F%C3%BAtbol Club,Unknown,1
Shenzhen_F.C.,Shenzhen F.C.,Chinese Super League,1
Alianza_Petrolera,Alianza Petrolera,Unknown,1
Associa%C3%A7%C3%A3o_Desportiva_S%C3%A3o_Caetano,São Caetano Futebol,Campeonato Paulista Série A4,1
